AIRLINE,COUNTRY,INFORMATION
Lineas Aereas del Sur,  Argentina, inactive (with supported aircraft)
Lineas Aereas Guipuzcoanas,  Spain, inactive (with supported aircraft)
Lineas Aereas Navarras,  Spain, inactive (with supported aircraft)
Lineas Aereas Paraguayas,  Paraguay, inactive (with supported aircraft)Renamed / Merged to LAPSA Air Paraguay
Lineas Aereas Suramericanas,  Colombia,  1 aircraft 
Linjeflyg,  Sweden, inactive (with supported aircraft)Renamed / Merged to SAS Scandinavian Airlines
Link Airs,  Japan, inactive (with supported aircraft)
Link Airways,  Australia,  10 aircraft 
Linkair Express,  Italy, inactive (with supported aircraft)
Linus Airways,  Indonesia, inactive (with supported aircraft)
Lion Air,  Indonesia,  99 aircraft 
Lionair,  Luxembourg, inactive (with supported aircraft)
Lipican Aer,  Slovenia, inactive (with supported aircraft)
Lithuanian Airlines,  Lithuania, inactive (with supported aircraft)
Livingston,  Italy, inactive (with supported aircraft)
Livingston Compagnia Aerea,  Italy, inactive (with supported aircraft)
Liza Aviation,  Togo,  1 aircraft 
Liza Transport International,  Burkina Faso,  2 aircraft 
Loadair Cargo,  Kuwait, inactive (with supported aircraft)
Lobaye Airways,  Central African Republic, inactive (with supported aircraft)
Loftleidir,  Iceland, inactive (with supported aircraft)Renamed / Merged to Icelandair
Loganair,  United Kingdom,  36 aircraft 
Logistic Air,  USA, inactive (with supported aircraft)
London Executive Aviation,  United Kingdom,  3 aircraft 
Lone Star Airlines,  USA, inactive (with supported aircraft)
Longhao Airlines,  China, inactive (with supported aircraft)Renamed / Merged to China Central Longhao Airlines
Longjiang Airlines,  China,  5 aircraft 
Longtail Aviation,  Bermuda, inactive (with supported aircraft)
Loongair,  China,  70 aircraft 
LorAir,  USA, inactive (with supported aircraft)
Lorena Air,  Indonesia, inactive (with supported aircraft)
Lorizon,  France,  1 aircraft 
LOT Charters,  Poland, inactive (with supported aircraft)
LOT Polish Airlines,  Poland,  73 aircraft 
Lotus Air,  Egypt, inactive (with supported aircraft)
Love2Fly,  Malaysia, inactive (with supported aircraft)
LTE International Airways,  Spain, inactive (with supported aircraft)Renamed / Merged to Volar Airlines
LTU Austria,  Austria, inactive (with supported aircraft)
LTU International Airways,  Germany, inactive (with supported aircraft)Renamed / Merged to Air Berlin
LTU Sud,  Germany, inactive (with supported aircraft)
Lubeck Air,  Germany,  2 aircraft 
Lucky Air,  China,  49 aircraft 
Lufthansa,  Germany,  266 aircraft 
Lufthansa Cargo,  Germany,  13 aircraft 
Lufthansa Cityline,  Germany,  54 aircraft 
Lufthansa Italia,  Italy, inactive (with supported aircraft)
Luke Air,  Malta, inactive (with supported aircraft)
Lulutai Airlines,  Tonga,  1 aircraft 
Lumiwings,  Greece,  2 aircraft 
Luxair,  Luxembourg,  21 aircraft 
Luxor Air,  Egypt, inactive (with supported aircraft)
Luxury Air,  USA, inactive (with supported aircraft)
Luxwing,  Malta,  5 aircraft 
Luzair,  Portugal, inactive (with supported aircraft)
Lynx Air,  Canada,  9 aircraft 
Lynx Air International,  USA, inactive (with supported aircraft)
Lynx Aviation,  USA, inactive (with supported aircraft)
Macair,  Argentina, inactive (with supported aircraft)
Macair Airlines,  Australia, inactive (with supported aircraft)
Macedonian Airlines,  Macedonia, inactive (with supported aircraft)
Macedonian Airlines of Greece,  Greece, inactive (with supported aircraft)Renamed / Merged to Olympic Airlines
Madagascar Government,  Madagascar, inactive (with supported aircraft)
Madagasikara Airways,  Madagascar, inactive (with supported aircraft)
Madeira Airlines,  Portugal, inactive (with supported aircraft)
Maersk Air,  Denmark, inactive (with supported aircraft)Renamed / Merged to Sterling Airlines
Maersk Air Cargo,  Denmark,  18 aircraft 
Maersk Air UK,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Duo Airways
Magenta Air,  Peru, inactive (with supported aircraft)
MagicBird Cargo,  Netherlands, inactive (with supported aircraft)
Magma Aviation,  United Kingdom,  2 aircraft 
Magnicharters,  Mexico,  5 aircraft 
Mahalo Air,  USA, inactive (with supported aircraft)
Mahan Air,  Iran,  37 aircraft 
Mahfooz Aviation,  Gambia, inactive (with supported aircraft)
Mahogany Air,  Zambia, inactive (with supported aircraft)
Mais Linhas Aereas,  Brazil, inactive (with supported aircraft)
Makung Airlines,  Taiwan, inactive (with supported aircraft)Renamed / Merged to Uni Air
Malawian Airlines,  Malawi,  2 aircraft 
Malaysia Airlines,  Malaysia,  72 aircraft 
MALDIVIAN,  Maldives,  10 aircraft 
Maleth Aero,  Malta,  4 aircraft 
MALEV,  Hungary, inactive (with supported aircraft)
Mali Air Express,  Mali, inactive (with supported aircraft)
Mali Government,  Mali,  1 aircraft 
Malindo Air,  Malaysia, inactive (with supported aircraft)Renamed / Merged to Batik Air Malaysia
Malmo Aviation,  Sweden, inactive (with supported aircraft)Renamed / Merged to BRA Braathens Regional
Malmo Aviation City Air,  Sweden, inactive (with supported aircraft)Renamed / Merged to Braathens-Malmo Aviation
Malta Air,  Malta,  161 aircraft 
Malta Medair,  Malta,  1 aircraft 
Maluti Sky,  Lesotho, inactive (with supported aircraft)
Manas Airways,  Kyrgyzstan, inactive (with supported aircraft)
Mandala Airlines,  Indonesia, inactive (with supported aircraft)Renamed / Merged to Mandala Indonesia
Mandala Indonesia,  Indonesia, inactive (with supported aircraft)
Mandarin Airlines,  Taiwan,  9 aircraft 
Mango,  South Africa, inactive (with supported aircraft)
Mann Yadanarpon airlines,  Myanmar,  2 aircraft 
Manta Air,  Maldives,  4 aircraft 
Manunggal Air,  Indonesia, inactive (with supported aircraft)
Manx Airlines,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to British Airways CitiExpress
MAP Executive Flight Service,  Austria, inactive (with supported aircraft)
MAP Linhas Aereas,  Brazil,  3 aircraft 
Marabu Airlines,  Estonia,  9 aircraft 
Marathon Airlines,  Greece,  5 aircraft 
Markair,  USA, inactive (with supported aircraft)Renamed / Merged to Northern Air Cargo
Markoss Aviation,  United Kingdom, inactive (with supported aircraft)
Maroomba Airlines,  Australia,  7 aircraft 
Marsland Aviation,  Sudan, inactive (with supported aircraft)
Martinair Holland,  Netherlands,  1 aircraft 
MAS Air Cargo,  Mexico,  5 aircraft 
Master Airways,  Serbia, inactive (with supported aircraft)
Master Top Linhas Aereas,  Brazil, inactive (with supported aircraft)
MasterJet,  Portugal, inactive (with supported aircraft)
MASwings,  Malaysia,  8 aircraft 
MAT Airways,  Macedonia, inactive (with supported aircraft)
MAT Macedonian,  Macedonia, inactive (with supported aircraft)
Mauritania Airlines International,  Mauritania,  3 aircraft 
Mauritania Airways,  Mauritania, inactive (with supported aircraft)
Mavi Gok Airlines (MGA),  Turkey,  5 aircraft 
Max Air,  Nigeria,  4 aircraft 
Maxair,  Sweden, inactive (with supported aircraft)
MaxAvia,  Iraq, inactive (with supported aircraft)
Maximus Air Cargo,  United Arab Emirates, inactive (with supported aircraft)
MAXjet Airways,  USA, inactive (with supported aircraft)
Maya Island Air,  Belize, inactive (with supported aircraft)
MayAir,  Mexico,  3 aircraft 
Mayan World Airlines,  Guatemala, inactive (with supported aircraft)
MBK-S,  Russia, inactive (with supported aircraft)
MCA Arlines,  Sweden, inactive (with supported aircraft)
McDonnell Douglas,  USA, inactive (with supported aircraft)
MchS,  Russia,  1 aircraft 
MCS Aero Carga,  Mexico, inactive (with supported aircraft)Renamed / Merged to TUM AeroCarga
MDLR Airlines,  India, inactive (with supported aircraft)
MEA,  Lebanon,  22 aircraft 
Med Air,  Italy, inactive (with supported aircraft)
Med Airlines,  Italy, inactive (with supported aircraft)
Med Airways,  Lebanon, inactive (with supported aircraft)
Med-View Airlines,  Nigeria, inactive (with supported aircraft)
Medallion Air,  Romania, inactive (with supported aircraft)
Medavia,  Malta,  1 aircraft 
Mediterranean Air Service,  Tunisia, inactive (with supported aircraft)
Mediterranean Airlines,  Greece, inactive (with supported aircraft)
MEDOPS,  Malta, inactive (with supported aircraft)Renamed / Merged to Mel Air
Medsky Airways,  Libya,  2 aircraft 
Meelad Air,  Jordan, inactive (with supported aircraft)
Mega Maldives Airlines,  Maldives, inactive (with supported aircraft)
Megantara Air,  Indonesia, inactive (with supported aircraft)
Mekong Airlines,  Cambodia, inactive (with supported aircraft)
Mel Air,  Malta,  5 aircraft 
Melilla Airlines,  Spain, inactive (with supported aircraft)
Mena Cargo,  Bahrain, inactive (with supported aircraft)
Menajet,  Lebanon, inactive (with supported aircraft)
Mentari Lion Airlines,  Indonesia, inactive (with supported aircraft)
Meraj Airlines,  Iran,  8 aircraft 
MercadoLibre,  Argentina,  8 aircraft 
Meridian Air Company,  Russia,  1 aircraft 
Meridiana,  Italy, inactive (with supported aircraft)Renamed / Merged to Airitaly
Meridiana Air,  Spain, inactive (with supported aircraft)
Merpati,  Indonesia, inactive (with supported aircraft)
Mesa Airlines,  USA,  95 aircraft 
Mesaba,  USA, inactive (with supported aircraft)Renamed / Merged to Pinnacle Airlines
Mesk Air,  United Arab Emirates,  1 aircraft 
Mesopotamia Air,  Iraq, inactive (with supported aircraft)
Met Air,  Philippines, inactive (with supported aircraft)
Meta - Mesquita Transportes Aereos,  Brazil, inactive (with supported aircraft)
Metro Air Northeast,  USA, inactive (with supported aircraft)
Metro Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to Metroflight
Metro Int,  USA, inactive (with supported aircraft)Renamed / Merged to Tower Air
Metroflight,  USA, inactive (with supported aircraft)
Metrojet,  USA, inactive (with supported aircraft)Renamed / Merged to US Airways
Metrojet Russia,  Russia, inactive (with supported aircraft)
Metropolis,  Netherlands, inactive (with supported aircraft)
Mexican Air Force,  Mexico,  4 aircraft 
Mexican Gvmt,  Mexico, inactive (with supported aircraft)
Mexicana,  Mexico, inactive (with supported aircraft)
Mexicana Link,  Mexico, inactive (with supported aircraft)
Mexico Air Force,  Mexico, inactive (with supported aircraft)
Mey-Air,  Norway, inactive (with supported aircraft)
MGC Airlines,  South Africa, inactive (with supported aircraft)
MGM Grand Air,  USA, inactive (with supported aircraft)Renamed / Merged to Champion Air
MHS Aviation,  Malaysia, inactive (with supported aircraft)
Miami Air International,  USA, inactive (with supported aircraft)
MIAT Mongolian Airlines,  Mongolia,  8 aircraft 
Mid Africa Aviation,  Gambia, inactive (with supported aircraft)
Mid Airlines,  Sudan, inactive (with supported aircraft)
Mid East Jet,  Saudi Arabia,  2 aircraft 
Mid Pacific Cargo,  USA, inactive (with supported aircraft)
Midair,  USA, inactive (with supported aircraft)
Midatlantic Airways (US Airways Express),  USA, inactive (with supported aircraft)
Midex Airlines,  United Arab Emirates, inactive (with supported aircraft)
Midway Airlines,  USA, inactive (with supported aircraft)
Midway Airlines (ML),  USA, inactive (with supported aircraft)
Midway Connection,  USA, inactive (with supported aircraft)
Midway Express,  USA, inactive (with supported aircraft)Renamed / Merged to Midway Airlines (ML)
Midwest Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to Frontier Airlines
Midwest Airlines Egypt,  Egypt, inactive (with supported aircraft)
Midwest Express,  USA, inactive (with supported aircraft)
Mihin Lanka,  Sri Lanka, inactive (with supported aircraft)Renamed / Merged to Srilankan Airlines
Millon Air,  USA, inactive (with supported aircraft)
Milne Bay Air,  Papua New Guinea, inactive (with supported aircraft)Renamed / Merged to Airlines of PNG
Minerve,  France, inactive (with supported aircraft)Renamed / Merged to AOM French Airlines
Minerve Canada,  Canada, inactive (with supported aircraft)
Miniliner,  Italy, inactive (with supported aircraft)
Ministic Air,  Canada, inactive (with supported aircraft)
Minoan Air,  Greece, inactive (with supported aircraft)
Mint Airways,  Spain, inactive (with supported aircraft)
Mistral Air,  Italy, inactive (with supported aircraft)Renamed / Merged to Poste Air Cargo
Mitsubishi Aircraft Coorporation,  Japan, inactive (with supported aircraft)
MJet,  Austria,  1 aircraft 
MK Airlines,  Ghana, inactive (with supported aircraft)
MNG Airlines,  Turkey,  8 aircraft 
Moalem Aviation,  Kyrgyzstan,  2 aircraft 
Mocambique EXpresso,  Mozambique,  5 aircraft 
Modern Logistics,  Brazil,  3 aircraft 
Modiluft,  India, inactive (with supported aircraft)
Mokulele Airlines,  USA, inactive (with supported aircraft)
Moldavian Airlines,  Moldova, inactive (with supported aircraft)
Monarch Airlines,  United Kingdom, inactive (with supported aircraft)
Mondair,  Morocco, inactive (with supported aircraft)
Mongolian Airlines,  Mongolia, inactive (with supported aircraft)Renamed / Merged to Hunnu Air
Mongolian Airways,  Mongolia,  2 aircraft 
MontAir,  Montenegro, inactive (with supported aircraft)
Montenegro Airlines,  Montenegro, inactive (with supported aircraft)
Morningstar Air Express,  Canada,  13 aircraft 
Morocco Airways,  Morocco, inactive (with supported aircraft)
Morris Air,  USA, inactive (with supported aircraft)Renamed / Merged to Southwest Airlines
Moscow Airlines,  Russia, inactive (with supported aircraft)
Moskovia Airlines,  Russia, inactive (with supported aircraft)
Mount Cook Airlines (Air New Zealand),  New Zealand, inactive (with supported aircraft)Renamed / Merged to Air New Zealand
Mountain West Airlines,  USA, inactive (with supported aircraft)
MRK,  Ukraine, inactive (with supported aircraft)
MSA,  Malaysia, inactive (with supported aircraft)
MSA - Malaysia-Singapore Airlines,  Singapore, inactive (with supported aircraft)Renamed / Merged to Malaysia Airlines
MSC Air Cargo,  Switzerland,  2 aircraft 
Muk Air,  Denmark, inactive (with supported aircraft)
Multiple Solutions Limited,  Kenya, inactive (with supported aircraft)
Muse Air,  USA, inactive (with supported aircraft)Renamed / Merged to Transtar Airlines
Mwant Jet,"  Congo, Democratic Republic of", inactive (with supported aircraft)
O-Air,  France, inactive (with supported aircraft)
Oasis Hong Kong Airlines,  Hong-Kong, inactive (with supported aircraft)
Oasis International Airlines,  Spain, inactive (with supported aircraft)
Occitania Jet Fleet,  France, inactive (with supported aircraft)
Ocean Airlines,  Italy, inactive (with supported aircraft)
Ocean Airlines Somalia,  Somalia,  2 aircraft 
Oceanair,  Brazil, inactive (with supported aircraft)Renamed / Merged to Avianca Brasil
Octavia Airlines,  France, inactive (with supported aircraft)
Odette Airways,  Switzerland, inactive (with supported aircraft)
Odyssey International,  Canada, inactive (with supported aircraft)Renamed / Merged to Wardair Canada
Okada Air,  Nigeria, inactive (with supported aircraft)
Okay Airways,  China,  21 aircraft 
OLT Express,  Poland, inactive (with supported aircraft)
OLT Express Germany,  Germany, inactive (with supported aircraft)
OLT Express Regional,  Poland, inactive (with supported aircraft)
Olympic Air,  Greece,  15 aircraft 
Olympic Airlines,  Greece, inactive (with supported aircraft)
Olympic Airways,  Greece, inactive (with supported aircraft)Renamed / Merged to Olympic Airlines
Olympic Aviation,  Greece, inactive (with supported aircraft)Renamed / Merged to Olympic Airlines
Olympus Airways,  Greece, inactive (with supported aircraft)
Oman Air,  Oman,  45 aircraft 
Oman Gvmt,  Oman,  3 aircraft 
Omega Air,  USA,  1 aircraft 
Omega Air Honduras,  Honduras, inactive (with supported aircraft)
Omni,  Portugal, inactive (with supported aircraft)
Omni Air International,  USA,  14 aircraft 
Omni Taxi Aereo,  Brazil,  1 aircraft 
Omniflys,  Mexico, inactive (with supported aircraft)
